family,model_id,model_name,total_params_b,active_params_b,primary_use,modality,variant,architecture,access,official_hf_link,direct_quant_hf_link,highest_quality_quant_under_100gb,highest_est_practical_gb,balanced_quant,balanced_est_practical_gb,fit_tier,notes,verification_status,family_source_url,common_local_formats,bf16_mem,q8_mem,q6_mem,q5_mem,q4_mem,q3_mem,q2_mem
Google Gemma,google/gemma-2-27b,gemma-2-27b,27,,general,text,base,Dense,gated,https://huggingface.co/google/gemma-2-27b,,BF16/FP16,72.3,BF16/FP16,72.3,Comfortable,Gemma 2 family.,current_family_page_2026-03-27,https://huggingface.co/collections/google/gemma-2-668d84f5e1a8d5778f19d7db,Transformers; GGUF/MLX,72.3,38.2,29.6,25.3,21.1,16.8,12.5
Google Gemma,google/gemma-2-27b-it,gemma-2-27b-it,27,,general chat,text,instruct,Dense,gated,https://huggingface.co/google/gemma-2-27b-it,,BF16/FP16,72.3,BF16/FP16,72.3,Comfortable,Gemma 2 family.,current_family_page_2026-03-27,https://huggingface.co/collections/google/gemma-2-668d84f5e1a8d5778f19d7db,Transformers; GGUF/MLX,72.3,38.2,29.6,25.3,21.1,16.8,12.5
Google Gemma,google/gemma-3-27b-it,gemma-3-27b-it,27,,general chat,text+vision,instruct,Dense,gated,https://huggingface.co/google/gemma-3-27b-it,https://huggingface.co/google/gemma-3-27b-it-qat-q4_0-gguf,BF16/FP16,72.3,BF16/FP16,72.3,Comfortable,Gemma 3 family; official QAT q4_0 GGUF available for IT checkpoints.,current_family_page_2026-03-27,https://huggingface.co/collections/google/gemma-3-67c816c910fc0817f9b4b7f8,Transformers; GGUF/MLX,72.3,38.2,29.6,25.3,21.1,16.8,12.5
Google Gemma,google/gemma-3-27b-pt,gemma-3-27b-pt,27,,general,text+vision,base,Dense,gated,https://huggingface.co/google/gemma-3-27b-pt,,BF16/FP16,72.3,BF16/FP16,72.3,Comfortable,Gemma 3 family.,current_family_page_2026-03-27,https://huggingface.co/collections/google/gemma-3-67c816c910fc0817f9b4b7f8,Transformers; GGUF/MLX,72.3,38.2,29.6,25.3,21.1,16.8,12.5
Google Gemma,google/translategemma-27b-it,translategemma-27b-it,27,,translation / multilingual,text,instruct,Dense,gated,https://huggingface.co/google/translategemma-27b-it,,BF16/FP16,72.3,BF16/FP16,72.3,Comfortable,Translation-oriented Gemma derivative.,current_family_page_2026-03-27,https://huggingface.co/collections/google/translategemma-67ee8c6b9c7d3bd73c8c8244,Transformers; GGUF/MLX,72.3,38.2,29.6,25.3,21.1,16.8,12.5
IBM Granite,ibm-granite/granite-4.0-h-small,granite-4.0-h-small,32,,general chat,text,instruct,Dense,open,https://huggingface.co/ibm-granite/granite-4.0-h-small,,BF16/FP16,85,BF16/FP16,85,Near limit,Hybrid Granite 4.0 small model.,current_family_page_2026-03-27,https://huggingface.co/ibm-granite,Transformers; GGUF,85,44.5,34.4,29.3,24.2,19.2,14.1
IBM Granite,ibm-granite/granite-4.0-h-small-base,granite-4.0-h-small-base,32,,general,text,base,Dense,open,https://huggingface.co/ibm-granite/granite-4.0-h-small-base,,BF16/FP16,85,BF16/FP16,85,Near limit,Hybrid Granite 4.0 small base model.,current_family_page_2026-03-27,https://huggingface.co/ibm-granite,Transformers; GGUF,85,44.5,34.4,29.3,24.2,19.2,14.1
Mistral,mistralai/Mixtral-8x22B-Instruct-v0.1,Mixtral 8x22B Instruct v0.1,141,39,general chat,text,instruct,MoE,open,https://huggingface.co/mistralai/Mixtral-8x22B-Instruct-v0.1,,Q4_K_M/4-bit,97.1,Q3_K_M/3-bit,73.8,Comfortable,Sparse MoE checkpoint.,current_repo_page_2026-03-27,https://huggingface.co/mistralai,Transformers; GGUF,376.2,190.1,143.6,120.3,97.1,73.8,50.5
Mistral,mistralai/Mixtral-8x22B-v0.1,Mixtral 8x22B v0.1,141,39,general,text,base,MoE,open,https://huggingface.co/mistralai/Mixtral-8x22B-v0.1,,Q4_K_M/4-bit,97.1,Q3_K_M/3-bit,73.8,Comfortable,Sparse MoE checkpoint.,current_repo_page_2026-03-27,https://huggingface.co/mistralai,Transformers; GGUF,376.2,190.1,143.6,120.3,97.1,73.8,50.5
Mistral,mistralai/Devstral-2-123B-Instruct-2512,Devstral-2-123B-Instruct-2512,123,,coding / agents,text,instruct,Dense,open,https://huggingface.co/mistralai/Devstral-2-123B-Instruct-2512,,Q4_K_M/4-bit,81.8,Q4_K_M/4-bit,81.8,Near limit,Large Devstral 2 release.,current_family_page_2026-03-27,https://huggingface.co/mistralai,Transformers; GGUF,315.2,159.6,120.7,101.2,81.8,62.3,42.9
Mistral,mistralai/Mistral-Small-4-119B-2603,Mistral-Small-4-119B-2603,119,,general,text,general,MoE,open,https://huggingface.co/mistralai/Mistral-Small-4-119B-2603,https://huggingface.co/mistralai/Mistral-Small-4-119B-2603-NVFP4,Q4_K_M/4-bit,82.5,Q4_K_M/4-bit,82.5,Near limit,Granular MoE; official NVFP4 repo available.,current_family_page_2026-03-27,https://huggingface.co/mistralai,Transformers; GGUF,318.2,161.1,121.8,102.2,82.5,62.9,43.3
Qwen,Qwen/Qwen3.5-122B-A10B,Qwen3.5-122B-A10B,122,10,multimodal,text+vision,multimodal,MoE,open,https://huggingface.co/Qwen/Qwen3.5-122B-A10B,,Q4_K_M/4-bit,84.5,Q4_K_M/4-bit,84.5,Near limit,Qwen3.5 multimodal MoE family.,current_org_page_2026-03-27,https://huggingface.co/Qwen,Transformers; GGUF; AWQ/GPTQ,326.1,165,124.8,104.7,84.5,64.4,44.3
Qwen,Qwen/Qwen3-Coder-Next,Qwen3-Coder-Next,80,3,coding / agents,text,coder,MoE,open,https://huggingface.co/Qwen/Qwen3-Coder-Next,https://huggingface.co/Qwen/Qwen3-Coder-Next-GGUF,Q6_K/6-bit,83.2,Q6_K/6-bit,83.2,Near limit,MoE code model; about 3B active / 80B total.,current_repo_page_2026-03-27,https://huggingface.co/Qwen/Qwen3-Coder-Next,Transformers; GGUF; AWQ/GPTQ,215.2,109.6,83.2,70,56.8,43.6,30.4
Qwen,Qwen/Qwen3-Coder-Next-Base,Qwen3-Coder-Next-Base,80,3,coding,text,base,MoE,open,https://huggingface.co/Qwen/Qwen3-Coder-Next-Base,https://huggingface.co/Qwen/Qwen3-Coder-Next-GGUF,Q6_K/6-bit,83.2,Q6_K/6-bit,83.2,Near limit,MoE code model; about 3B active / 80B total.,current_repo_page_2026-03-27,https://huggingface.co/Qwen/Qwen3-Coder-Next,Transformers; GGUF; AWQ/GPTQ,215.2,109.6,83.2,70,56.8,43.6,30.4
Qwen,Qwen/Qwen2-72B,Qwen2-72B,72,,general,text,base,Dense,open,https://huggingface.co/Qwen/Qwen2-72B,,FP8/Q8_0/INT8,95.1,Q6_K/6-bit,72.3,Comfortable,,current_family_page_2026-03-27,https://huggingface.co/collections/Qwen/qwen2-6659361987f473a0f12f57e7,Transformers; GGUF; AWQ/GPTQ,186.2,95.1,72.3,60.9,49.5,38.2,26.8
Qwen,Qwen/Qwen2-72B-Instruct,Qwen2-72B-Instruct,72,,general chat,text,instruct,Dense,open,https://huggingface.co/Qwen/Qwen2-72B-Instruct,,FP8/Q8_0/INT8,95.1,Q6_K/6-bit,72.3,Comfortable,,current_family_page_2026-03-27,https://huggingface.co/collections/Qwen/qwen2-6659361987f473a0f12f57e7,Transformers; GGUF; AWQ/GPTQ,186.2,95.1,72.3,60.9,49.5,38.2,26.8
Qwen,Qwen/Qwen2.5-72B,Qwen2.5-72B,72,,general,text,base,Dense,open,https://huggingface.co/Qwen/Qwen2.5-72B,,FP8/Q8_0/INT8,95.1,Q6_K/6-bit,72.3,Comfortable,Mainstream Qwen 2.5 family.,current_family_page_2026-03-27,https://huggingface.co/collections/Qwen/qwen25-66e81a666513e518adb90d9e,Transformers; GGUF; AWQ/GPTQ,186.2,95.1,72.3,60.9,49.5,38.2,26.8
Qwen,Qwen/Qwen2.5-72B-Instruct,Qwen2.5-72B-Instruct,72,,general chat,text,instruct,Dense,open,https://huggingface.co/Qwen/Qwen2.5-72B-Instruct,,FP8/Q8_0/INT8,95.1,Q6_K/6-bit,72.3,Comfortable,Mainstream Qwen 2.5 family.,current_family_page_2026-03-27,https://huggingface.co/collections/Qwen/qwen25-66e81a666513e518adb90d9e,Transformers; GGUF; AWQ/GPTQ,186.2,95.1,72.3,60.9,49.5,38.2,26.8
Qwen,Qwen/Qwen2.5-VL-72B-Instruct,Qwen2.5-VL-72B-Instruct,72,,multimodal chat,text+vision,instruct,Dense,open,https://huggingface.co/Qwen/Qwen2.5-VL-72B-Instruct,,FP8/Q8_0/INT8,95.1,Q6_K/6-bit,72.3,Comfortable,Qwen 2.5 VL multimodal family.,current_family_page_2026-03-27,https://huggingface.co/collections/Qwen/qwen25-vl-6795ffac22b334a837c0f9a5,Transformers; GGUF; AWQ/GPTQ,186.2,95.1,72.3,60.9,49.5,38.2,26.8
Qwen,Qwen/Qwen2-57B-A14B,Qwen2-57B-A14B,57,14,general,text,base,MoE,open,https://huggingface.co/Qwen/Qwen2-57B-A14B,,FP8/Q8_0/INT8,79.2,FP8/Q8_0/INT8,79.2,Near limit,Mixture-of-experts Qwen2 model.,current_family_page_2026-03-27,https://huggingface.co/collections/Qwen/qwen2-6659361987f473a0f12f57e7,Transformers; GGUF; AWQ/GPTQ,154.5,79.2,60.4,51,41.6,32.2,22.8
Qwen,Qwen/Qwen2-57B-A14B-Instruct,Qwen2-57B-A14B-Instruct,57,14,general chat,text,instruct,MoE,open,https://huggingface.co/Qwen/Qwen2-57B-A14B-Instruct,,FP8/Q8_0/INT8,79.2,FP8/Q8_0/INT8,79.2,Near limit,Mixture-of-experts Qwen2 model.,current_family_page_2026-03-27,https://huggingface.co/collections/Qwen/qwen2-6659361987f473a0f12f57e7,Transformers; GGUF; AWQ/GPTQ,154.5,79.2,60.4,51,41.6,32.2,22.8
Qwen,Qwen/QwQ-32B,QwQ-32B,32,,reasoning,text,reasoning,Dense,open,https://huggingface.co/Qwen/QwQ-32B,https://huggingface.co/Qwen/QwQ-32B-GGUF,BF16/FP16,85,BF16/FP16,85,Near limit,Reasoning-focused Qwen model.,current_family_page_2026-03-27,https://huggingface.co/collections/Qwen/qwq-32b-67b8f50ac9f53ebcc8ec7537,Transformers; GGUF; AWQ/GPTQ,85,44.5,34.4,29.3,24.2,19.2,14.1
Qwen,Qwen/Qwen2.5-32B,Qwen2.5-32B,32,,general,text,base,Dense,open,https://huggingface.co/Qwen/Qwen2.5-32B,,BF16/FP16,85,BF16/FP16,85,Near limit,Mainstream Qwen 2.5 family.,current_family_page_2026-03-27,https://huggingface.co/collections/Qwen/qwen25-66e81a666513e518adb90d9e,Transformers; GGUF; AWQ/GPTQ,85,44.5,34.4,29.3,24.2,19.2,14.1
Qwen,Qwen/Qwen2.5-32B-Instruct,Qwen2.5-32B-Instruct,32,,general chat,text,instruct,Dense,open,https://huggingface.co/Qwen/Qwen2.5-32B-Instruct,https://huggingface.co/Qwen/Qwen2.5-32B-Instruct-GGUF,BF16/FP16,85,BF16/FP16,85,Near limit,Mainstream Qwen 2.5 family.,current_family_page_2026-03-27,https://huggingface.co/collections/Qwen/qwen25-66e81a666513e518adb90d9e,Transformers; GGUF; AWQ/GPTQ,85,44.5,34.4,29.3,24.2,19.2,14.1
Qwen,Qwen/Qwen2.5-Coder-32B,Qwen2.5-Coder-32B,32,,coding,text,base,Dense,open,https://huggingface.co/Qwen/Qwen2.5-Coder-32B,,BF16/FP16,85,BF16/FP16,85,Near limit,Code-specialized Qwen 2.5 family.,current_family_page_2026-03-27,https://huggingface.co/collections/Qwen/qwen25-coder-66f2e9e3bdbf8f6bcb2e315b,Transformers; GGUF; AWQ/GPTQ,85,44.5,34.4,29.3,24.2,19.2,14.1
Qwen,Qwen/Qwen2.5-Coder-32B-Instruct,Qwen2.5-Coder-32B-Instruct,32,,coding chat,text,instruct,Dense,open,https://huggingface.co/Qwen/Qwen2.5-Coder-32B-Instruct,https://huggingface.co/Qwen/Qwen2.5-Coder-32B-Instruct-GGUF,BF16/FP16,85,BF16/FP16,85,Near limit,Code-specialized Qwen 2.5 family.,current_family_page_2026-03-27,https://huggingface.co/collections/Qwen/qwen25-coder-66f2e9e3bdbf8f6bcb2e315b,Transformers; GGUF; AWQ/GPTQ,85,44.5,34.4,29.3,24.2,19.2,14.1
Qwen,Qwen/Qwen2.5-VL-32B-Instruct,Qwen2.5-VL-32B-Instruct,32,,multimodal chat,text+vision,instruct,Dense,open,https://huggingface.co/Qwen/Qwen2.5-VL-32B-Instruct,,BF16/FP16,85,BF16/FP16,85,Near limit,Qwen 2.5 VL multimodal family.,current_family_page_2026-03-27,https://huggingface.co/collections/Qwen/qwen25-vl-6795ffac22b334a837c0f9a5,Transformers; GGUF; AWQ/GPTQ,85,44.5,34.4,29.3,24.2,19.2,14.1
Qwen,Qwen/Qwen3-32B,Qwen3-32B,32,,general / reasoning dual-mode,text,dual-mode,Dense,open,https://huggingface.co/Qwen/Qwen3-32B,https://huggingface.co/Qwen/Qwen3-32B-GGUF,BF16/FP16,85,BF16/FP16,85,Near limit,Qwen3 dense family supports thinking and non-thinking modes.,current_repo_page_2026-03-27,https://huggingface.co/Qwen/Qwen3-32B,Transformers; GGUF; AWQ/GPTQ,85,44.5,34.4,29.3,24.2,19.2,14.1
Qwen,Qwen/Qwen3-30B-A3B,Qwen3-30B-A3B,30.5,3.3,general / reasoning dual-mode,text,dual-mode,MoE,open,https://huggingface.co/Qwen/Qwen3-30B-A3B,https://huggingface.co/Qwen/Qwen3-30B-A3B-GGUF,BF16/FP16,84.5,BF16/FP16,84.5,Near limit,MoE Qwen3 model; 3.3B active / 30.5B total.,current_repo_page_2026-03-27,https://huggingface.co/Qwen/Qwen3-30B-A3B,Transformers; GGUF; AWQ/GPTQ,84.5,44.3,34.2,29.2,24.1,19.1,14.1
Qwen,Qwen/Qwen3-30B-A3B-Base,Qwen3-30B-A3B-Base,30.5,3.3,general,text,base,MoE,open,https://huggingface.co/Qwen/Qwen3-30B-A3B-Base,,BF16/FP16,84.5,BF16/FP16,84.5,Near limit,MoE Qwen3 model; 3.3B active / 30.5B total.,current_repo_page_2026-03-27,https://huggingface.co/Qwen/Qwen3-30B-A3B,Transformers; GGUF; AWQ/GPTQ,84.5,44.3,34.2,29.2,24.1,19.1,14.1
Qwen,Qwen/Qwen3-30B-A3B-Instruct-2507,Qwen3-30B-A3B-Instruct-2507,30.5,3.3,general chat,text,instruct,MoE,open,https://huggingface.co/Qwen/Qwen3-30B-A3B-Instruct-2507,https://huggingface.co/Qwen/Qwen3-30B-A3B-GGUF,BF16/FP16,84.5,BF16/FP16,84.5,Near limit,MoE Qwen3 model; 3.3B active / 30.5B total.,current_repo_page_2026-03-27,https://huggingface.co/Qwen/Qwen3-30B-A3B,Transformers; GGUF; AWQ/GPTQ,84.5,44.3,34.2,29.2,24.1,19.1,14.1
Qwen,Qwen/Qwen3-30B-A3B-Thinking-2507,Qwen3-30B-A3B-Thinking-2507,30.5,3.3,reasoning,text,reasoning,MoE,open,https://huggingface.co/Qwen/Qwen3-30B-A3B-Thinking-2507,https://huggingface.co/Qwen/Qwen3-30B-A3B-GGUF,BF16/FP16,84.5,BF16/FP16,84.5,Near limit,MoE Qwen3 model; 3.3B active / 30.5B total.,current_repo_page_2026-03-27,https://huggingface.co/Qwen/Qwen3-30B-A3B,Transformers; GGUF; AWQ/GPTQ,84.5,44.3,34.2,29.2,24.1,19.1,14.1
